,Product Lookup,,Location Filters,,,,,
Delete,Product Name,Product Sku,Type,Zone,State,City,Locality,PIN Code
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Zone || State || City || Locality,Only string value,Only string value,Only string value,Only string value,Only number value
* Required,* Required,* Required,* Required,---,---,---,---,---
N,"Pvr Inox Phoenix Palassio Mall, Gomti Nagar, Lucknow, Up",CINEMA000125,locality,North,Uttar Pradesh,Lucknow,Gomti Nagar,226002
N,"Pvr Inox Umrao Mall, Nishant Ganj, Lucknow, Up",CINEMA000126,locality,North,Uttar Pradesh,Lucknow,Nishant Ganj,226006
N,"Pvr Phoenix Mall - Lucknow, Lucknow, Up",CINEMA000127,locality,North,Uttar Pradesh,Lucknow,,226012
N,"Pvr Sahara Ganj - Lucknow, Lucknow, Up",CINEMA000128,locality,North,Uttar Pradesh,Lucknow,,226001
N,"Pvr Sahu Hazratganj, Lucknow, Lucknow, Up",CINEMA000129,locality,North,Uttar Pradesh,Lucknow,,226001
N,"Pvr Superplex Lulu Mall Lucknow, Lucknow, Up",CINEMA000130,locality,North,Uttar Pradesh,Lucknow,,226030
N,"Pvr Inox Pvs Mall, Meerut, Up",CINEMA000131,locality,North,Uttar Pradesh,Meerut,,250002
N,"Pvr Parsvnath Mall-Moradabad, Moradabad, Up",CINEMA000132,locality,North,Uttar Pradesh,Moradabad,,244105
N,"Pvr Dlf Mall Of India, Noida, Noida, Up",CINEMA000133,locality,North,Uttar Pradesh,Noida,,201301
N,"Pvr Gaur City, Noida, Noida, Up",CINEMA000134,locality,North,Uttar Pradesh,Noida,,201318
N,"Pvr Superplex Logix Noida, Noida, Up",CINEMA000135,locality,North,Uttar Pradesh,Noida,,201307
N,"Pvr Centrio Mall Dehradun, Dehradun, Uttarakhand",CINEMA000136,locality,North,Uttarakhand,Dehradun,,248001
N,"Pvr Dehradun, Dehradun, Uttarakhand",CINEMA000137,locality,North,Uttarakhand,Dehradun,,
N,"Pvr Mall Of Dehradun, Dehradun, Uttarakhand",CINEMA000138,locality,North,Uttarakhand,Dehradun,,248005
N,"Pvr Inox Srmt Mall, Kakinada, Andhra Pradesh",CINEMA000139,locality,South,Andhra Pradesh,Kakinada,,533005
